	model	metric	k	value
152	KGCN	recall	30	0.2871
153	KGCN	recall	40	0.3365
154	KGCN	recall	50	0.3793
155	KGCN	mrr	10	0.409
156	KGCN	mrr	20	0.416
157	KGCN	mrr	30	0.4182
158	KGCN	mrr	40	0.4189
159	KGCN	mrr	50	0.4194
160	KGCN	ndcg	10	0.2309
161	KGCN	ndcg	20	0.2362
162	KGCN	ndcg	30	0.2494
163	KGCN	ndcg	40	0.2625
164	KGCN	ndcg	50	0.2756
165	KGCN	hit	10	0.704
166	KGCN	hit	20	0.8051
167	KGCN	hit	30	0.8586
168	KGCN	hit	40	0.8858
169	KGCN	hit	50	0.9053
170	KGCN	precision	10	0.1864
171	KGCN	precision	20	0.1505
172	KGCN	precision	30	0.1306
173	KGCN	precision	40	0.1163
174	KGCN	precision	50	0.1061
175	KGCN	map	10	0.1336
176	KGCN	map	20	0.1167
177	KGCN	map	30	0.1139
178	KGCN	map	40	0.1143
179	KGCN	map	50	0.1161
180	CKE	recall	10	0.1562
181	CKE	recall	20	0.2426
182	CKE	recall	30	0.3031
183	CKE	recall	40	0.3547
184	CKE	recall	50	0.3946
185	CKE	mrr	10	0.4314
186	CKE	mrr	20	0.4388
187	CKE	mrr	30	0.4405
188	CKE	mrr	40	0.4412
189	CKE	mrr	50	0.4417
190	CKE	ndcg	10	0.2478
191	CKE	ndcg	20	0.254
192	CKE	ndcg	30	0.266
193	CKE	ndcg	40	0.2798
194	CKE	ndcg	50	0.2918
195	CKE	hit	10	0.7283
196	CKE	hit	20	0.8329
197	CKE	hit	30	0.8755
198	CKE	hit	40	0.9022
199	CKE	hit	50	0.9207
200	CKE	precision	10	0.1959
201	CKE	precision	20	0.1575
202	CKE	precision	30	0.1352
203	CKE	precision	40	0.1204
204	CKE	precision	50	0.1089
205	CKE	map	10	0.146
206	CKE	map	20	0.1287
207	CKE	map	30	0.1255
208	CKE	map	40	0.126
209	CKE	map	50	0.1275
