	model	metric	k	value
0	RippleNET	recall	10	0.1016
1	RippleNET	recall	20	0.1751
2	RippleNET	recall	30	0.2313
3	RippleNET	recall	40	0.28
4	RippleNET	recall	50	0.3214
5	RippleNET	mrr	10	0.2683
6	RippleNET	mrr	20	0.2781
7	RippleNET	mrr	30	0.2807
8	RippleNET	mrr	40	0.2818
9	RippleNET	mrr	50	0.2823
10	RippleNET	ndcg	10	0.1429
11	RippleNET	ndcg	20	0.1606
12	RippleNET	ndcg	30	0.1777
13	RippleNET	ndcg	40	0.1935
14	RippleNET	ndcg	50	0.2077
15	RippleNET	hit	10	0.6189
16	RippleNET	hit	20	0.7589
17	RippleNET	hit	30	0.8238
18	RippleNET	hit	40	0.8601
19	RippleNET	hit	50	0.8839
20	RippleNET	precision	10	0.1204
21	RippleNET	precision	20	0.1067
22	RippleNET	precision	30	0.0972
23	RippleNET	precision	40	0.0898
24	RippleNET	precision	50	0.084
25	RippleNET	map	10	0.0669
26	RippleNET	map	20	0.0637
27	RippleNET	map	30	0.0656
28	RippleNET	map	40	0.0683
29	RippleNET	map	50	0.0711
30	ItemKNN	recall	10	0.101
31	ItemKNN	recall	20	0.172
32	ItemKNN	recall	30	0.23
33	ItemKNN	recall	40	0.27
34	ItemKNN	recall	50	0.31
35	ItemKNN	mrr	10	0.25
36	ItemKNN	mrr	20	0.26
37	ItemKNN	mrr	30	0.2701
38	ItemKNN	mrr	40	0.2718
39	ItemKNN	mrr	50	0.272
40	ItemKNN	ndcg	10	0.1329
41	ItemKNN	ndcg	20	0.1506
42	ItemKNN	ndcg	30	0.1677
43	ItemKNN	ndcg	40	0.1835
44	ItemKNN	ndcg	50	0.187
45	ItemKNN	hit	10	0.59
46	ItemKNN	hit	20	0.73
47	ItemKNN	hit	30	0.8
48	ItemKNN	hit	40	0.84
49	ItemKNN	hit	50	0.87
50	ItemKNN	precision	10	0.1104
51	ItemKNN	precision	20	0.1037
52	ItemKNN	precision	30	0.0872
53	ItemKNN	precision	40	0.0878
54	ItemKNN	precision	50	0.074
55	ItemKNN	map	10	0.0569
56	ItemKNN	map	20	0.0537
57	ItemKNN	map	30	0.0556
58	ItemKNN	map	40	0.0583
59	ItemKNN	map	50	0.0611
60	BPR	recall	10	0.1012
61	BPR	recall	20	0.173
62	BPR	recall	30	0.231
63	BPR	recall	40	0.275
64	BPR	recall	50	0.315
65	BPR	mrr	10	0.26
66	BPR	mrr	20	0.265
67	BPR	mrr	30	0.271
68	BPR	mrr	40	0.272
69	BPR	mrr	50	0.275
70	BPR	ndcg	10	0.135
71	BPR	ndcg	20	0.155
72	BPR	ndcg	30	0.17
73	BPR	ndcg	40	0.188
74	BPR	ndcg	50	0.19
75	BPR	hit	10	0.595
76	BPR	hit	20	0.74
77	BPR	hit	30	0.81
78	BPR	hit	40	0.85
79	BPR	hit	50	0.875
80	BPR	precision	10	0.1154
81	BPR	precision	20	0.1047
82	BPR	precision	30	0.09
83	BPR	precision	40	0.0878
84	BPR	precision	50	0.078
85	BPR	map	10	0.0599
86	BPR	map	20	0.0567
87	BPR	map	30	0.0586
88	BPR	map	40	0.0613
89	BPR	map	50	0.0651
90	MKR	recall	10	0.1288
91	MKR	recall	20	0.2034
92	MKR	recall	30	0.2579
93	MKR	recall	40	0.3072
94	MKR	recall	50	0.3499
95	MKR	mrr	10	0.3744
96	MKR	mrr	20	0.3821
97	MKR	mrr	30	0.384
98	MKR	mrr	40	0.3849
99	MKR	mrr	50	0.3855
100	MKR	ndcg	10	0.2105
101	MKR	ndcg	20	0.216
102	MKR	ndcg	30	0.2272
103	MKR	ndcg	40	0.2406
104	MKR	ndcg	50	0.2534
105	MKR	hit	10	0.676
106	MKR	hit	20	0.7833
107	MKR	hit	30	0.8318
108	MKR	hit	40	0.8634
109	MKR	hit	50	0.8874
110	MKR	precision	10	0.173
111	MKR	precision	20	0.141
112	MKR	precision	30	0.1225
113	MKR	precision	40	0.1102
114	MKR	precision	50	0.1008
115	MKR	map	10	0.119
116	MKR	map	20	0.1043
117	MKR	map	30	0.1012
118	MKR	map	40	0.1017
119	MKR	map	50	0.1033
120	KGAT	recall	10	0.159
121	KGAT	recall	20	0.2415
122	KGAT	recall	30	0.3047
123	KGAT	recall	40	0.3552
124	KGAT	recall	50	0.3972
125	KGAT	mrr	10	0.4316
126	KGAT	mrr	20	0.4384
127	KGAT	mrr	30	0.4404
128	KGAT	mrr	40	0.4411
129	KGAT	mrr	50	0.4415
130	KGAT	ndcg	10	0.2493
131	KGAT	ndcg	20	0.2539
132	KGAT	ndcg	30	0.2668
133	KGAT	ndcg	40	0.2802
134	KGAT	ndcg	50	0.2925
135	KGAT	hit	10	0.7356
136	KGAT	hit	20	0.832
137	KGAT	hit	30	0.8798
138	KGAT	hit	40	0.9055
139	KGAT	hit	50	0.9238
140	KGAT	precision	10	0.1978
141	KGAT	precision	20	0.1576
142	KGAT	precision	30	0.1359
143	KGAT	precision	40	0.1209
144	KGAT	precision	50	0.1094
145	KGAT	map	10	0.1465
146	KGAT	map	20	0.1287
147	KGAT	map	30	0.1256
148	KGAT	map	40	0.126
149	KGAT	map	50	0.1275
150	KGCN	recall	10	0.1423
151	KGCN	recall	20	0.2238
